type,frame,mean_motion,std_motion,max_motion
normal,0,0.309992,0.75805104,3.7351956
normal,1,0.32604468,0.76904386,4.1867576
normal,2,0.20583111,0.5194504,4.7112875
normal,3,0.34362906,0.78340507,4.125902
normal,4,0.21110952,0.4896729,3.1768432
normal,5,0.25919053,0.6370814,3.9048936
normal,6,0.0,0.0,0.0
normal,7,0.0,0.0,0.0
normal,8,0.0,0.0,0.0
normal,9,0.24616882,0.58774704,4.5600586
normal,10,0.22039355,0.50641847,2.867219
normal,11,0.35622317,0.7900455,3.9270225
normal,12,0.21945444,0.5711987,6.1002398
normal,13,0.3413049,0.7824539,4.361709
normal,14,0.32179546,0.76396906,3.8873327
normal,15,0.45778066,1.1109511,5.148029
normal,16,0.28634733,0.7330623,4.411062
normal,17,0.14821768,0.4019538,3.966995
normal,18,0.25613612,0.6747711,2.4995697
normal,19,0.14567468,0.43991688,5.329871
normal,20,0.1153802,0.32486814,2.1902552
normal,21,0.0,0.0,0.0
normal,22,0.0,0.0,0.0
normal,23,0.0,0.0,0.0
normal,24,0.11172512,0.32179084,3.2327714
normal,25,0.14099823,0.43447846,5.31708
normal,26,0.2403935,0.6554028,2.3665023
normal,27,0.14419988,0.3973519,3.2913654
normal,28,0.27039966,0.7149486,4.991767
normal,29,0.2831168,0.7141758,3.5864668
normal,30,0.4298606,1.051341,4.4009547
normal,31,0.32604468,0.76904386,4.1867576
normal,32,0.20583111,0.5194504,4.7112875
normal,33,0.34362906,0.78340507,4.125902
normal,34,0.21110952,0.4896729,3.1768432
normal,35,0.25919053,0.6370814,3.9048936
normal,36,0.0,0.0,0.0
normal,37,0.0,0.0,0.0
normal,38,0.0,0.0,0.0
normal,39,0.24616882,0.58774704,4.5600586
normal,40,0.22039355,0.50641847,2.867219
normal,41,0.35622317,0.7900455,3.9270225
normal,42,0.21945444,0.5711987,6.1002398
normal,43,0.3413049,0.7824539,4.361709
normal,44,0.32179546,0.76396906,3.8873327
normal,45,0.45778066,1.1109511,5.148029
normal,46,0.28634733,0.7330623,4.411062
normal,47,0.14821768,0.4019538,3.966995
normal,48,0.25613612,0.6747711,2.4995697
normal,49,0.14567468,0.43991688,5.329871
abnormal,0,0.0,0.0,0.0
abnormal,1,0.15768012,0.45752555,6.8978257
abnormal,2,0.1829204,0.5086099,7.17467
abnormal,3,0.0,0.0,0.0
abnormal,4,0.17971218,0.52001804,7.5594735
abnormal,5,0.0,0.0,0.0
abnormal,6,0.0,0.0,0.0
abnormal,7,0.0,0.0,0.0
abnormal,8,0.0,0.0,0.0
abnormal,9,0.0,0.0,0.0
abnormal,10,0.18507147,0.5288052,8.576299
abnormal,11,0.0,0.0,0.0
abnormal,12,0.19302388,0.53542155,7.8673177
abnormal,13,0.1612074,0.45525137,5.654183
abnormal,14,0.0,0.0,0.0
abnormal,15,0.15923049,0.45088184,6.150578
abnormal,16,0.1608637,0.45069918,5.249519
abnormal,17,0.1717002,0.5020336,4.6309566
abnormal,18,0.0,0.0,0.0
abnormal,19,0.16351482,0.5138459,7.5744114
abnormal,20,0.0,0.0,0.0
abnormal,21,0.0,0.0,0.0
abnormal,22,0.0,0.0,0.0
abnormal,23,0.0,0.0,0.0
abnormal,24,0.0,0.0,0.0
abnormal,25,0.14962582,0.46309164,8.124467
abnormal,26,0.0,0.0,0.0
abnormal,27,0.1657281,0.49374643,4.617783
abnormal,28,0.15934213,0.45945024,5.1186266
abnormal,29,0.0,0.0,0.0
abnormal,30,0.1552866,0.4491407,5.7587376
abnormal,31,0.15768012,0.45752555,6.8978257
abnormal,32,0.1829204,0.5086099,7.17467
abnormal,33,0.0,0.0,0.0
abnormal,34,0.17971218,0.52001804,7.5594735
abnormal,35,0.0,0.0,0.0
abnormal,36,0.0,0.0,0.0
abnormal,37,0.0,0.0,0.0
abnormal,38,0.0,0.0,0.0
abnormal,39,0.0,0.0,0.0
abnormal,40,0.18507147,0.5288052,8.576299
abnormal,41,0.0,0.0,0.0
abnormal,42,0.19302388,0.53542155,7.8673177
abnormal,43,0.1612074,0.45525137,5.654183
abnormal,44,0.0,0.0,0.0
abnormal,45,0.15923049,0.45088184,6.150578
abnormal,46,0.1608637,0.45069918,5.249519
abnormal,47,0.1717002,0.5020336,4.6309566
abnormal,48,0.0,0.0,0.0
abnormal,49,0.16351482,0.5138459,7.5744114
